spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,27,4,6,ZA,2/12/2025,86,TRUE,201800,SOS,12/9/2022,0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,4
1lOtpeO2I2cjvN2CvbnpGW,Dear Ex Yami,"Mduduzi Ncube, Fanatic SA, Stallin Matsitsa, Caeser, Ayanda Art",28,-2,13,ZA,2/12/2025,55,FALSE,278875,Dear Ex Yami,9/13/2024,0.679,0.765,6,-4.937,1,0.0658,0.351,0.00189,0.0864,0.793,150.011,4
5pRsWnuWkwfnCsaSlxYrsj,Moyongcwele,Nontokozo Mkhize,29,4,18,ZA,2/12/2025,48,FALSE,309473,Lindiwe,1/24/2025,0.24,0.159,3,-14.106,1,0.0288,0.789,0,0.0614,0.117,97.004,4
3H8XWGDteOl8nmUqeYrHw5,Uvalo,"Usimamane, Sjava",30,-1,0,ZA,2/12/2025,57,FALSE,324000,20th: Days Before Maud,9/13/2024,0.532,0.414,5,-7.992,0,0.0935,0.652,0.00264,0.114,0.0987,159.958,3
0AQfRLzd7pQZcLtfh9Onb8,Shayi'Moto (feat. Seemah & Yanda Woods),"Mellow & Sleazy, Scotts Maphuma, Mr Pilato, Seemah, Yanda Woods",31,-1,-10,ZA,2/12/2025,62,FALSE,445719,Shayi'Moto (feat. Seemah & Yanda Woods),11/8/2024,0.853,0.773,1,-10.387,0,0.0565,0.0275,0.0175,0.0908,0.513,112.002,4
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",32,-4,-7,ZA,2/12/2025,83,TRUE,256000,Hurry Up Tomorrow,1/31/2025,0.768,0.775,11,-5.06,0,0.0466,0.069,2.96E-06,0.138,0.6,119.999,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,33,1,17,ZA,2/12/2025,87,FALSE,180304,Fireworks & Rollerblades,4/5/2024,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
5WphWTUIfRe7x8NZss79cY,Let Me Love You,Mario,34,16,16,ZA,2/12/2025,70,FALSE,249093,Turning Point,12/6/2004,0.622,0.593,7,-8.352,0,0.0916,0.163,0,0.0979,0.607,94.364,4
2fOazsCfbGoDQqwxIJLUzG,Ngiyabonga,Naledi Aphiwe,35,10,15,ZA,2/12/2025,55,FALSE,241685,Ngiyabonga,1/26/2024,0.558,0.579,7,-8.501,0,0.0434,0.151,0.00595,0.143,0.37,173.921,4
0prPe1VYMLkXi2RMlOGaU6,PIKIPIKI (feat. Cowboii),"Scotts Maphuma, Shaunmusiq, CowBoii",36,0,-2,ZA,2/12/2025,60,FALSE,351640,PIATO (A Different Chapter),12/13/2024,0.9,0.772,1,-5.193,1,0.0452,0.00744,0.014,0.627,0.342,112.003,4
2tUXE87QNnoVQZApV3uyVZ,Ngisakuthanda,"Zee Nxumalo, TBO, PYY Logdrum King, DJ Tearz, Dr Thulz",37,3,-1,ZA,2/12/2025,55,FALSE,442122,Ngisakuthanda,9/6/2024,0.767,0.814,8,-5.779,0,0.0555,0.00891,0.000751,0.0668,0.546,112.998,4
1Cbl3Yq8rHo7hhDQmLQagU,PUSH 2 START,Tyla,38,3,1,ZA,2/12/2025,86,FALSE,156825,TYLA +,10/11/2024,0.683,0.814,2,-3.505,1,0.0466,0.277,0.00826,0.0858,0.758,93.482,4
0nj9Bq5sHDiTxSHunhgkFb,squabble up,Kendrick Lamar,39,5,11,ZA,2/12/2025,88,TRUE,157992,GNX,11/22/2024,0.874,0.672,0,-5.568,1,0.198,0.0206,0,0.0783,0.711,103.921,4
4mP0H0hKkZa7Y2sgVGfyq7,Angisafuni Ngami,"NOMAKHOSINI, Mnqobi Yazo",40,7,10,ZA,2/12/2025,53,FALSE,222391,Angisafuni Ngami,1/17/2025,0.739,0.54,9,-10.433,0,0.102,0.133,1.12E-05,0.13,0.546,91.971,4
5nVQ2bPZjV9wlD2hboLe6l,Awuhlabe Kabili,LIMIT NALA,41,-6,7,ZA,2/12/2025,54,FALSE,293877,Take Your Time,12/6/2024,0.707,0.818,7,-7.133,1,0.0306,0.376,0,0.0476,0.95,105.02,3
567NwM1L86vGvZwiZfCsMo,Gucci,"Mthandeni SK, MaWhoo",42,0,-4,ZA,2/12/2025,58,FALSE,247617,Gucci,9/26/2024,0.625,0.927,6,-5.446,0,0.0313,0.0212,0.011,0.304,0.863,146.727,4
1AXW0WnNUceegJHGl3HWlJ,Rush Hour,Sminofu,43,-4,-19,ZA,2/12/2025,57,FALSE,271305,Rush Hour,11/8/2024,0.721,0.937,10,-4.87,0,0.112,0.142,0.000371,0.0561,0.804,159.973,4
21fhgH4tjYcAKzkzCuYyr6,Sdakiwe Sbali (feat. Bless The Gentleman & DJ Kap),"Blaq Major, BLESS THE GENTLEMAN, DJ KAP",44,-12,-4,ZA,2/12/2025,60,FALSE,245740,Sdakiwe Sbali (feat. Bless The Gentleman & DJ Kap),8/12/2024,0.937,0.638,6,-6.094,0,0.0424,0.00877,0,0.0608,0.753,114.043,4
62KQubjM0rmQ7L3VvybxrL,Vulani (feat. Thatohatsi & Tracy),"Kelvin Momo, Da Muziqal Chef, Thatohatsi, Tracy",45,1,-1,ZA,2/12/2025,55,FALSE,476100,Ntsako,12/13/2024,0.689,0.507,1,-11.118,0,0.0705,0.0411,0.00333,0.0279,0.463,113.01,4
05A1KzxTLvShctiD0Bsydd,Sayona,"Inkabi Zezwe, Sjava, Big Zulu",46,4,4,ZA,2/12/2025,52,FALSE,227368,Ukhamba,5/12/2023,0.648,0.554,3,-7.202,1,0.0618,0.42,0,0.0896,0.291,95.015,4
5VI0jL3U1EVMKgh3e9KXZ6,Ungangilimazi (feat. Frank Mabeat),"Dj Moscow, Brandon Dhludhlu, Cnethemba Gonelo, Frank Mabeat",47,3,-16,ZA,2/12/2025,47,FALSE,341128,Emaweni,10/11/2024,0.83,0.549,8,-14.217,1,0.0575,0.0143,0.0014,0.0262,0.505,113.017,4
